Gender
DAY,male:Muscle Mass,male:Anabolic,male:Catabolic
1,1994.1234172433346,50.01011946141573,52.0
2,1993.1388902318645,50.0,52.0
3,1992.1543632203939,50.0,52.0
4,1991.169836208924,50.0,52.0
5,1993.4234959215075,81.80140067214923,74.71794415938689
6,1996.3056381076256,73.21517928545084,65.2490577806915
7,1999.7692281119969,64.91416236339639,56.49571221057344
8,2001.6901250231817,57.008570167806724,52.63679011313564
9,2001.3355987602813,51.49167417627463,52.10933230819693
10,2003.935982496281,82.35941103116569,74.11222658351981
11,2007.1966172006812,73.76855018166067,64.67323889798004
12,2011.0796699601133,65.46079078984702,55.90512770659021
13,2013.0931220120785,57.486065417949305,52.62173069457765
14,2012.8222061693548,51.85378975178424,52.08312380532693
15,2015.5330948530227,83.4761842413513,74.69560546694304
16,2018.902954708657,74.86400630149004,65.24518511863319
17,2022.8113164942115,66.53167079461764,56.5685906964079
18,2025.1830981521225,58.53180394649341,52.64974493225707
19,2025.1069083593611,52.348118916948394,52.06677183698473
20,2027.9302725552982,83.72787220616598,74.49611530817475
21,2031.4183112223375,75.12007770455523,65.06131404710617
22,2035.4971754841497,66.79170879922239,56.3024858569616
23,2037.8679869306416,58.77826272514428,52.67565257102547
24,2037.9447637562218,52.81220679965223,52.079360338753304
25,2040.9267371496453,85.41282791035168,75.4931114096791
26,2044.5676086264907,76.76254670463146,66.0299156038704
27,2048.8383989000904,68.3882032468791,57.09660016557133
28,2051.819404864018,60.31929167915496,52.661600319942934
29,2052.1031915967087,53.3150742003514,52.059957128144916
30,2055.2128597736805,85.91007786436913,75.47934034631363
31,2058.9874794894563,77.26109122243587,66.03124710972679
32,2063.304610420606,68.8864424698162,57.21743981861808
33,2066.3899672247676,60.869533916865585,52.80109600651003
34,2066.8680609672265,53.92673202050638,52.11060232576223
35,2070.136563900807,87.32162451857238,76.17801386317804
36,2074.0571973642004,78.6417844577249,66.7114199299278
37,2078.521830544187,70.23337485006641,57.8457181513484
38,2082.0202292269328,62.1188482862649,52.784356524796664
39,2082.8654416743366,54.75438566690428,52.131052557031346
40,2086.341239036619,88.28279239500844,76.3218266688993
41,2090.4604962592653,79.59104656012336,66.86196361560037
42,2095.1501788511205,71.16801560861907,57.82898801496643
43,2098.870410260599,63.035885986020226,52.97533054772745
44,2099.8896042342617,55.43826558469121,52.21685321715751
45,2103.4486670690485,87.54090908732665,75.28529853842657
46,2107.650897039942,78.88740601499654,65.87552741733792
47,2112.387566209034,70.50255782697737,56.990091641032315
48,2115.9296599548343,62.40945714740952,52.79394589562446
49,2116.7554345714725,54.93534425616623,52.13772886312526
50,2120.2306453546694,88.27127231598797,76.17774157926992
51,2124.3587245802532,79.61033019415157,66.7471260087197
52,2129.0226101539242,71.21615186051562,57.88054026323082
53,2132.8117998081,63.11108340564057,52.88596295088281
54,2133.878671947295,55.528412987817426,52.14517076211922
55,2137.510005781667,88.71650122776046,76.08109973061475
56,2141.7840644347057,80.05657190860943,66.66579612367863
57,2146.5826440645046,71.6619444519974,57.74603482630146
58,2150.55891445513,63.5549488989536,52.81308376283431
59,2151.827308899491,55.94403410271067,52.20607673129502
60,2155.5528249195345,88.70928296572944,75.8120727574024
61,2159.956799854931,80.06791122385967,66.41980468375539
62,2164.8213467265305,71.69160186861033,57.59188341160877
63,2168.649036486734,63.60249236559011,52.9653191925778
64,2169.8872176891687,56.09083889307789,52.26256694547264
65,2173.6238384567246,91.05428084275195,77.61674774155256
66,2177.986022277618,82.36238640410402,68.17284984963743
67,2182.847967848485,73.93066277718188,59.14934901873037
68,2187.093725651336,65.7800480768652,53.3081843525886
69,2188.991202612336,58.01640458751566,52.3689550803442
70,2193.0995542522614,91.96015342781801,76.94738215997197
71,2197.779066855218,83.25992798083213,67.53939662419799
72,2202.798969274509,74.81805007616666,58.536131782410216
73,2207.1228908759736,66.6550369363179,53.353582146199905
74,2209.2253457171237,58.82511325566657,52.332906509770396
75,2213.4935135241844,94.1724184187424,78.04758992672971
76,2218.2537481702893,85.4241630540166,68.61337031358359
77,2223.29801704492,76.92978736890828,59.571998060906076
78,2228.0012640572754,68.7086892596184,53.2379953192633
79,2230.8936482813165,60.78493203758772,52.279276749576425
80,2235.54574152349,93.78396901945813,76.17197330504328
81,2240.6057246097294,85.06792689443303,66.82340389970324
82,2245.691827923803,76.60391518271062,57.99521464049309
83,2250.352585774664,68.41229736052296,53.0605869223064
84,2253.191588046289,60.51405153941625,52.251342220926624
85,2257.8629247051476,95.04535742647198,77.35517500992019
86,2262.97109901064,86.31198683722536,67.97623362901669
87,2268.0664551731534,77.82847894134473,59.1284278147742
88,2272.8256920031235,69.61418485641444,53.19537162095748
89,2276.0625183404677,61.697683379425456,52.2774527690589
90,2280.923921544057,95.94093222650227,77.17410770348442
91,2286.1226011225567,87.20273784777741,67.81683995144431
92,2291.2186899394223,78.71204707875609,58.919959038150814
93,2296.0395565659046,70.48794625598885,53.254171677223894
94,2299.5767206345495,62.55752995859659,52.40482245655723
95,2304.5890835404603,94.75700200750224,75.6954723582982
96,2309.818556668928,86.0705326445305,66.40877847660956
97,2314.881539650736,77.63262499551901,57.631166504604984
98,2319.6297400535577,69.46292219499463,53.045344785292215
99,2322.80632158995,61.60719160381779,52.32229656495455
100,2327.6644183646877,96.80895510379719,77.97857560499872
101,2332.858315010288,88.08492705900967,68.62279783356259
102,2337.984930601718,79.60646714736369,59.676434839136206
103,2342.8200734324137,71.39188405417107,53.49978783045947
104,2346.480788399858,63.459890599297644,52.450358786972494
105,2351.558326920525,99.41864267323353,78.74089179106265
