Gender
DAY,female:Muscle Mass,female:Anabolic,female:Catabolic
1,1718.8471307238613,50.213357536421206,52.16784419068693
2,1717.883299653138,50.08732925797766,52.046717188884976
3,1716.919390948021,50.0438729294147,52.00237494553517
4,1715.9438789283763,50.01807721266418,52.0
5,1717.895528446296,82.55272056279803,76.33272375888852
6,1720.195505275621,77.03313312994918,70.27066726831931
7,1722.8775449247494,71.62720756880006,64.35745627670713
8,1725.9205257020415,66.34202677738355,58.73745101375147
9,1729.0225177548525,61.20296807668767,54.01230068342896
10,1733.4642460672883,93.01020849265356,77.88350035482614
11,1738.366570712003,87.30827588531831,71.79753209603719
12,1743.470915073068,81.71242687439378,65.85256572113792
13,1748.5661058234457,76.22859593483855,60.07655935533219
14,1753.4954696610785,70.8619582840999,55.019954092659454
15,1758.961007215038,103.06491284325041,79.3098239575454
16,1764.3448341779417,97.21286875214909,73.20772359712738
17,1769.6214271492868,91.45981916252937,67.24472237690344
18,1774.78415541094,85.81055377543767,61.441878686208014
19,1779.8282501580004,80.26940914783665,55.99112918864544
20,1785.3302019898883,112.55962874213179,80.44082001291974
21,1790.7330064919113,106.58051424024313,74.32879528655229
22,1796.0300481918307,100.69436525727194,68.35409578945038
23,1801.2145872889298,94.90530376617514,62.525401828610484
24,1806.2821081617988,89.21708204662987,56.974038770712006
25,1811.8174464485207,122.91296204098805,82.61628018226179
26,1817.2557664805731,116.80703156349637,76.47287373759046
27,1822.590926237021,110.78832139272907,70.46390911802814
28,1827.8164788286006,104.86024490537376,64.59745813472607
29,1832.9264627803245,99.02608800857234,58.93208833506485
30,1838.4721377002465,131.06297976814406,83.31819463700461
31,1843.9218235018056,124.86906680279465,77.17448507375167
32,1849.269211884985,118.75821894201327,71.16378724766902
33,1854.5079849722529,112.7336898731718,65.29439128694119
34,1859.6325211518295,106.79840131030885,59.630652106992166
35,1865.198280342807,139.57033400536164,84.65880560478698
36,1870.6693077730235,133.29011844890948,78.50136844401901
37,1876.0396486837062,127.08922098301838,72.47521794474874
38,1881.303201449365,120.9704150831527,66.5881802426511
39,1886.4544065867788,114.93631723659465,60.89873003703591
40,1892.0413859632765,147.86468277096023,86.09911194482176
41,1897.5350734431267,141.50628705989897,79.92622939244207
42,1902.9296247463424,135.22379221538083,73.88267380084304
43,1908.2190974131815,129.0197666892601,67.97612856816387
44,1913.3969012461152,122.89660952565852,62.214523058844854
45,1918.9967413473496,155.3148592854609,87.06681299981601
46,1924.504621595444,148.89288452485036,80.88965783979366
47,1929.9146015764823,142.5438214161822,74.84000108548136
48,1935.2207722847447,136.27015839925974,68.92565368803288
49,1940.4166471783328,130.07415607100145,63.1543241422465
50,1946.0353296229698,162.46647199660615,88.4305697358695
51,1951.563275525656,155.9865331042992,82.24082348347416
52,1956.9947570680802,149.57720431407716,76.17689912662017
53,1962.3240578330667,143.24068059269229,70.24633168767184
54,1967.544902350008,136.979006154838,64.4565801969052
55,1973.1877445245468,169.30806219825737,90.12943453944543
56,1978.7412333112297,162.77469053494124,83.91971473745426
57,1984.1999553870558,156.31059324185182,77.83394558043645
58,1989.558419947147,149.9170080371228,71.87924458377744
59,1994.8105699279738,143.5957832026965,66.06277877536664
60,2000.4880295679357,176.39618905640054,92.5761865088929
61,2006.077912076549,169.78226366924525,86.33221227830848
62,2011.5750495919929,163.26325320326436,80.20977866438011
63,2016.9742178804647,156.81273432872746,74.21569572636834
64,2022.2696740021104,150.4323625734397,68.35679243187944
65,2027.955325558294,180.5575592865193,93.26259290037821
66,2033.554407033359,173.84703114277235,87.02006511576805
67,2039.0615811972777,167.30335631791118,80.89768325886048
68,2044.4716808876353,160.82807466510633,74.90248302933881
69,2049.7790557780863,154.4215445884683,69.04122057367368
70,2055.4922065875458,185.44732288854436,95.36179232705611
71,2061.1200026630995,178.66267348451115,89.09432470344032
72,2066.6575174041936,172.08690496188683,82.94535943640592
73,2072.0998285140863,165.58071916905928,76.92138178759072
74,2077.441542692966,159.14188659552272,71.0288271433052
75,2083.1785405508954,189.27331755583216,97.16143510992676
76,2088.8317846318805,182.404136217476,90.87388465586415
77,2094.3963859575506,175.79108196958768,84.70265824621106
78,2099.8675558618065,169.26447162435556,78.65420261057163
79,2105.240070208434,162.80397476883243,72.73478667351871
80,2111.01772480904,193.19064515763597,100.2640815774828
81,2116.7135142154098,186.2641301394592,93.93342988559128
82,2122.322981107116,179.64511862715227,87.71657236008423
83,2127.8416147972184,173.09797489396382,81.61938563590495
84,2133.2644736756824,166.6156945599417,75.64778044049955
85,2139.0837296056607,195.53805695204468,103.61557779111284
86,2144.8231938091662,188.45883428826792,97.24045381185059
87,2150.4786708315687,181.78747005941125,90.97632762050827
88,2156.0458990921256,175.23528491408496,84.82874152531853
89,2161.5202242677565,168.74735375878842,78.80328829995705
90,2167.373147302093,196.46084123971102,106.42166454943835
