DAY,Muscle Mass,Anabolic,Catabolic
51,18.59978493,142.8703745,76.29773343
52,18.65310047,136.5515085,70.31751748
53,18.7053239,130.3106012,64.47900945
54,18.75639462,124.1501688,58.83731293
55,18.81174587,155.2561945,82.81380539
56,18.86614433,148.8142606,76.70721502
57,18.91952376,142.4451765,70.73256312
58,18.97181919,136.1515732,64.89854679
59,19.02297139,129.9357901,59.26208458
60,19.07855,162.0342112,84.3715643
61,19.13318885,155.5382071,78.24718259
62,19.1868251,149.1129001,72.25295759
63,19.23939642,142.76061,66.39714731
64,19.29087029,136.4834548,60.83329145
65,19.34683862,169.3639502,86.94069263
66,19.40188671,162.806683,80.7763352
67,19.45595696,156.3213022,74.73951915
68,19.50899059,149.9065947,68.8378117
69,19.56092526,143.5644661,63.08890601
70,19.61735107,176.8879769,90.10184893
71,19.67288068,170.250484,83.88819236
72,19.72746076,163.7062031,77.79885612
73,19.78103612,157.2304538,71.84085474
74,19.833546,150.8249239,66.02139634
75,19.890276,182.2221427,92.35682566
76,19.94612859,175.5265519,86.11454778
77,20.00105209,168.94742,79.9940531
78,20.05499386,162.4352931,74.00214711
79,20.10789592,155.9917052,68.14570995
80,20.16487397,186.4219184,94.24895606
81,20.22099027,179.6466277,87.98556492
82,20.27619403,173.0426191,81.8418384
83,20.33043434,166.5066963,75.82446143
84,20.38365531,160.037997,69.94009166
85,20.44095205,189.9505936,96.7108413
86,20.49740798,183.098903,90.41663504
87,20.55297335,176.4646713,84.2392547
88,20.60759874,169.9113793,78.18526732
89,20.66123056,163.4242168,72.26114383
90,20.71872131,191.6466176,98.19105254
91,20.7753806,184.743529,91.88281873
92,20.83116028,178.0971067,85.69013846
93,20.88601279,171.5437894,79.6193588
94,20.93988639,165.0560508,73.67670833
95,20.99776584,193.7847693,101.2568936
96,21.05483384,186.7919734,94.90804704
97,21.11104562,180.1569767,88.67205541
98,21.16635627,173.5998968,82.55482769
99,21.22071683,167.1076401,76.56225227
100,21.27892549,194.997508,103.850467
101,21.33633873,188.0047836,97.46900264
102,21.39291328,181.3602258,91.19822774
103,21.44860618,174.8069502,85.04385679
104,21.50337078,168.3180458,79.01152897
105,21.56185281,195.1754219,106.233961
106,21.61955564,188.1486021,99.82734352
107,21.67643717,181.484614,93.52920833
108,21.73245574,174.9452005,87.34512515
109,21.78756639,168.470158,81.28056565
110,21.84642097,196.2498159,109.3699049
111,21.90451237,189.1157806,102.9245225
112,21.96180163,182.4221663,96.58546744
113,22.01824972,175.8855228,90.35788568
114,22.07381423,169.4161835,84.24691144
115,22.1330143,196.7277206,112.4253032
116,22.19146967,189.5443903,105.9447161
117,22.249143,182.8376657,99.56795969
118,22.30599676,176.3135816,93.29997634
119,22.36199034,169.8550405,87.14570226
120,22.42163181,197.5456745,116.610302
121,22.480566,190.290859,110.078947
122,22.53874096,183.5481504,103.6487646
123,22.59612181,177.0233396,97.32428801
124,22.65267064,170.5727457,91.11011353
125,22.71238028,197.4677571,119.5393615
